institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
University of Florida,Clinical Ph.D.,"P.O. Box 100165 HPNP Building | 1225 Center Drive, Room 3151","Gainesville, FL 32610-0165","January 01, 1953",Accredited,Next site visit scheduled 2035
George Washington University,Clinical Ph.D.,2013 H Street NW,"Washington, DC 20002","April 01, 1970",Accredited,Next site visit scheduled 2034
George Washington University,Clinical Psy.D.,"1922 F Street NW, Suite 100","Washington, DC 20052","February 16, 2001",Accredited,Next site visit scheduled 2034
University of Miami,Clinical Ph.D.,P.O. Box 248185,"Coral Gables, FL 33124-2040","December 01, 1966",Accredited,Next site visit scheduled 2033
Howard University,Clinical Ph.D.,"Department of Psychology | 641 S Street NW, Suite 300","Washington, DC 20001","April 07, 1987",Accredited,Next site visit scheduled 2034
Florida Institute of Technology,Clinical Psy.D.,150 West University Boulevard,"Melbourne, FL 32901-6975","April 26, 1983",Accredited,Next site visit scheduled 2022
Nova Southeastern University,Clinical Ph.D.,Maltz Psychology Building | 3301 College Avenue,"Fort Lauderdale, FL 33314","October 30, 1981",Accredited,Next site visit scheduled 2029
University of Georgia,Clinical Ph.D.,Department of Psychology | 110 Hooper Street,"Athens, GA 30602-3013","January 14, 1966",Accredited,Next site visit scheduled 2029
Nova Southeastern University,Clinical Psy.D.,Maltz Psychology Building | 3301 College Avenue,"Fort Lauderdale, FL 33314","March 15, 1983",Accredited,Next site visit scheduled 2029
Mercer University,Clinical Psy.D.,3001 Mercer University Drive,"Atlanta, GA 30341","July 22, 2018",Accredited,Next site visit scheduled 2032
Chaminade University of Honolulu,Clinical Psy.D.,"Hawaii School of Professional Psychology | 3140 Waialae Avenue | School of Education and Behavioral Sciences | Brogran Hall, Room 110","Honolulu, HI 96816","April 11, 2021",Accredited,Next site visit scheduled 2030
University of South Florida,Clinical Ph.D.,4202 East Fowler Avenue PCD4118G,"Tampa, FL 33620-7200","November 01, 1975",Accredited,Next site visit scheduled 2027
Georgia Southern University,Clinical Psy.D.,2670 Southern Drive | Brannen Hall #1008 | PO Box 8041,"Statesboro, GA 30460","March 04, 2014",Accredited,Next site visit scheduled 2029
University of Hawaii at Manoa,Clinical Ph.D.,"2530 Dole Street, Sakamaki C400","Honolulu, HI 96822","March 01, 1972",Accredited,Next site visit scheduled 2035
Georgia State University,Clinical Ph.D.,P.O. Box 5010,"Atlanta, GA 30302-5010","November 28, 1973",Accredited,Next site visit scheduled 2028
Hawaii Pacific University,Clinical Psy.D.,500 Ala Moana Blvd | WP1-304D | Nex site visit scheduled 2027,"Honolulu, HI 96813","April 26, 2024","Accredited, on contingency",
Emory University,Clinical Ph.D.,"Emory University | PAIS Building 36, Eagle Row, Suite 270","Atlanta, GA 30322","March 01, 1968",Accredited,Next site visit scheduled 2034
Idaho State University,Clinical Ph.D.,Psychology Department ISU | 921 South 8th Avenue | Stop 8112,"Pocatello, ID 83209-8112","May 16, 2001",Accredited,Next site visit scheduled 2023
Midwestern University,Clinical Psy.D.,555 31st Street,"Downers Grove, IL 60515","September 18, 2012",Accredited,Next site visit scheduled 2027
Adler University - Chicago,Clinical Psy.D.,,,,,
National Louis University,Clinical Psy.D.,Illinois School of Professional Psychology | 18 S. Michigan Ave.,"Chicago, IL 60603","May 05, 2021",Accredited,Next site visit scheduled 2031
Illinois Institute of Technology,Clinical Ph.D.,"3424 S. State Street | Tech Central, Room 201","Chicago, IL 60616","April 30, 1982",Accredited,Next site visit scheduled 2031
Professional Psychology - Chicago Campus),Clinical Psy.D.,"325 N. Wells Street, Third Floor","Chicago, IL 60654","October 06, 1987",Accredited,Next site visit scheduled 2023
Northern Illinois University,Clinical Ph.D.,PM 400,"DeKalb, IL 60115","April 01, 1972",Accredited,Next site visit scheduled 2028
Loyola University Chicago,Clinical Ph.D.,1032 W. Sheridan Road,"Chicago, IL 60660","April 02, 1959",Accredited,Next site visit scheduled 2027
DePaul University,Clinical Ph.D.,2219 N. Kenmore Avenue,"Chicago, IL 60614","May 11, 1976",Accredited,Next site visit scheduled 2033
Northwestern University,Clinical Ph.D.,"2029 Sheridan Road, 102 Swift Hall","Evanston, IL 60208-2710","May 16, 1986",Accredited,Next site visit scheduled 2034
